Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
nm,a.u.,nm,a.u.,nm,a.u.,nm,a.u.
Demo A,Demo A,Demo B,Demo B,Demo C,Demo C,Demo D,Demo D
250,0.048800,250,0.048792,250,0.048788,250,0.048787
251,0.049849,251,0.049840,251,0.049835,251,0.049835
252,0.051001,252,0.050990,252,0.050985,252,0.050984
253,0.052261,253,0.052249,253,0.052243,253,0.052243
254,0.053638,254,0.053624,254,0.053618,254,0.053617
255,0.055138,255,0.055123,255,0.055116,255,0.055115
256,0.056769,256,0.056751,256,0.056744,256,0.056742
257,0.058537,257,0.058517,257,0.058508,257,0.058507
258,0.060449,258,0.060426,258,0.060417,258,0.060416
259,0.062512,259,0.062486,259,0.062476,259,0.062474
260,0.064732,260,0.064703,260,0.064691,260,0.064690
261,0.067115,261,0.067082,261,0.067069,261,0.067067
262,0.069667,262,0.069629,262,0.069615,262,0.069613
263,0.072391,263,0.072349,263,0.072333,263,0.072330
264,0.075293,264,0.075246,264,0.075227,264,0.075225
265,0.078376,265,0.078323,265,0.078302,265,0.078299
266,0.081641,266,0.081582,266,0.081559,266,0.081556
267,0.085092,267,0.085026,267,0.085000,267,0.084997
268,0.088729,268,0.088654,268,0.088625,268,0.088622
269,0.092550,269,0.092466,269,0.092434,269,0.092430
270,0.096554,270,0.096460,270,0.096425,270,0.096420
271,0.100738,271,0.100633,271,0.100594,271,0.100589
272,0.105098,272,0.104980,272,0.104937,272,0.104931
273,0.109627,273,0.109495,273,0.109447,273,0.109441
274,0.114318,274,0.114171,274,0.114118,274,0.114110
275,0.119162,275,0.118998,275,0.118939,275,0.118931
276,0.124149,276,0.123966,276,0.123900,276,0.123891
277,0.129266,277,0.129062,277,0.128990,277,0.128980
278,0.134500,278,0.134273,278,0.134193,278,0.134182
279,0.139835,279,0.139583,279,0.139495,279,0.139482
280,0.145256,280,0.144976,280,0.144878,280,0.144864
281,0.150744,281,0.150433,281,0.150324,281,0.150309
282,0.156279,282,0.155934,282,0.155814,282,0.155797
283,0.161841,283,0.161458,283,0.161326,283,0.161307
284,0.167408,284,0.166984,284,0.166838,284,0.166818
285,0.172958,285,0.172488,285,0.172327,285,0.172304
286,0.178466,286,0.177946,286,0.177769,286,0.177744
287,0.183908,287,0.183333,287,0.183138,287,0.183111
288,0.189260,288,0.188625,288,0.188411,288,0.188380
289,0.194496,289,0.193795,289,0.193559,289,0.193526
290,0.199592,290,0.198818,290,0.198559,290,0.198522
291,0.204522,291,0.203669,291,0.203384,291,0.203344
292,0.209261,292,0.208321,292,0.208009,292,0.207964
293,0.213785,293,0.212751,293,0.212408,293,0.212359
294,0.218071,294,0.216934,294,0.216557,294,0.216503
295,0.222096,295,0.220847,295,0.220434,295,0.220374
296,0.225840,296,0.224468,296,0.224016,296,0.223950
297,0.229283,297,0.227776,297,0.227282,297,0.227210
298,0.232406,298,0.230754,298,0.230213,298,0.230134
299,0.235194,299,0.233384,299,0.232792,299,0.232705
