Angular frequency,Storage modulus,Angular frequency,Storage modulus,Angular frequency,Storage modulus,Angular frequency,Storage modulus,Angular frequency,Storage modulus
rad s⁻¹,Pa,rad s⁻¹,Pa,rad s⁻¹,Pa,rad s⁻¹,Pa,rad s⁻¹,Pa
R01,R01,R02,R02,R03,R03,R04,R04,R05,R05
0.01,29.00032432,0.01,49.72565830,0.01,85.98373059,0.01,151.15348481,0.01,276.25489066
0.014873521,30.15320293,0.014873521,51.89029167,0.014873521,90.40657745,0.014873521,162.71248094,0.014873521,310.23673968
0.022122163,31.38665764,0.022122163,54.27783554,0.022122163,96.36330511,0.022122163,180.20682825,0.022122163,361.02642357
0.032903446,32.69474346,0.032903446,57.35806908,0.032903446,105.33482488,0.032903446,206.67903822,0.032903446,433.66810801
0.048939009,34.29769769,0.048939009,61.94258172,0.048939009,119.07003423,0.048939009,245.08247543,0.048939009,532.62617609
0.072789538,36.63379827,0.072789538,69.03400952,0.072789538,139.29843310,0.072789538,298.02599523,0.072789538,662.32170935
0.10826367,40.27551746,0.10826367,79.64594123,0.10826367,167.54820319,0.10826367,367.97437599,0.10826367,829.05149512
0.1610262,45.81739037,0.1610262,94.67645381,0.1610262,205.20586369,0.1610262,458.18870232,0.1610262,1044.28192098
0.23950266,53.78937461,0.23950266,114.91251428,0.23950266,253.97043693,0.23950266,574.50290837,0.23950266,1327.93255935
0.35622479,64.64233811,0.35622479,141.24599528,0.35622479,316.79260975,0.35622479,727.38756758,0.35622479,1708.48043395
0.52983169,78.84870076,0.52983169,175.16290004,0.52983169,399.10192010,0.52983169,932.74378500,0.52983169,2216.22973633
0.78804628,97.15465319,0.78804628,219.44572330,0.78804628,509.58887674,0.78804628,1209.26635451,0.78804628,2869.14717505
1.1721023,120.97138210,1.1721023,278.75834992,1.1721023,659.34237694,1.1721023,1571.29519505,1.1721023,3657.58031121
1.7433288,152.76270009,1.7433288,359.47986757,1.7433288,858.42436983,1.7433288,2019.51350218,1.7433288,4540.38411266
2.5929438,196.10837021,2.5929438,468.15642699,2.5929438,1110.56502881,2.5929438,2535.96571721,2.5929438,5461.82251073
3.8566204,255.05462653,3.8566204,608.63280159,3.8566204,1409.09912517,3.8566204,3090.11766809,3.8566204,6382.08980642
5.7361525,332.63516925,5.7361525,779.25958868,5.7361525,1738.34996528,5.7361525,3655.21504984,5.7361525,7296.19949621
8.5316785,429.13086829,8.5316785,972.57903109,8.5316785,2081.71709818,8.5316785,4222.67333852,8.5316785,8218.98394318
12.68961,541.34654104,12.68961,1178.96636597,12.68961,2431.17813169,12.68961,4799.12514660,12.68961,9144.13259636
18.873918,664.04921205,18.873918,1392.31983228,18.873918,2788.82373980,18.873918,5384.64202990,18.873918,10014.85823713
28.072162,793.11552400,28.072162,1612.60883078,28.072162,3156.30930530,28.072162,5950.95562023,28.072162,10738.79165717
41.753189,927.76433358,41.753189,1841.36692329,41.753189,3520.38521018,41.753189,6442.81811382,41.753189,11241.76807750
62.101694,1069.00835012,62.101694,2072.86451606,62.101694,3849.24345924,62.101694,6806.63777667,62.101694,11520.54104329
92.367086,1214.66207934,92.367086,2289.49556487,92.367086,4106.44840332,92.367086,7026.08949298,92.367086,11653.53695609
137.38238,1355.39052582,137.38238,2467.66982912,137.38238,4273.55306048,137.38238,7137.20169353,137.38238,11759.42031945
204.33597,1476.56200100,204.33597,2591.35623944,204.33597,4364.13285939,204.33597,7210.36224100,204.33597,11929.73058027
303.91954,1565.86808396,303.91954,2663.18025128,303.91954,4417.94542411,303.91954,7310.27481015,303.91954,12178.69093294
452.03537,1621.28346810,452.03537,2704.27832282,452.03537,4478.32964722,452.03537,7459.65260086,452.03537,12441.42031686
672.33575,1653.12994385,672.33575,2742.34212688,672.33575,4567.46240501,672.33575,7629.48952481,672.33575,12620.79108732
1000,1678.31107308,1000,2795.58250964,1000,4675.20674715,1000,7761.44900754,1000,12653.13643560
