Wavenumber,Absorbance,Wavenumber,Absorbance,Wavenumber,Absorbance,Wavenumber,Absorbance,Wavenumber,Absorbance
cm⁻¹,a.u.,cm⁻¹,a.u.,cm⁻¹,a.u.,cm⁻¹,a.u.,cm⁻¹,a.u.
S01,S01,S02,S02,S03,S03,S04,S04,S05,S05
4000.000000,0.04342608,4000.000000,0.04760184,4000.000000,0.05146499,4000.000000,0.05454725,4000.000000,0.05647478
3994.156928,0.04299549,3994.156928,0.04717507,3994.156928,0.05109433,3994.156928,0.05427818,3994.156928,0.05634047
3988.313856,0.04256806,3988.313856,0.04674591,3988.313856,0.05071610,3988.313856,0.05399739,3988.313856,0.05619180
3982.470785,0.04214441,3982.470785,0.04631501,3982.470785,0.05033091,3982.470785,0.05370538,3982.470785,0.05602911
3976.627713,0.04172522,3976.627713,0.04588303,3976.627713,0.04993938,3976.627713,0.05340264,3976.627713,0.05585274
3970.784641,0.04131114,3970.784641,0.04545066,3970.784641,0.04954214,3970.784641,0.05308973,3970.784641,0.05566309
3964.941569,0.04090283,3964.941569,0.04501860,3964.941569,0.04913986,3964.941569,0.05276722,3964.941569,0.05546061
3959.098497,0.04050097,3959.098497,0.04458756,3959.098497,0.04873324,3959.098497,0.05243571,3959.098497,0.05524576
3953.255426,0.04010625,3953.255426,0.04415827,3953.255426,0.04832299,3953.255426,0.05209586,3953.255426,0.05501908
3947.412354,0.03971936,3947.412354,0.04373148,3947.412354,0.04790986,3947.412354,0.05174834,3947.412354,0.05478114
3941.569282,0.03934101,3941.569282,0.04330797,3941.569282,0.04749462,3941.569282,0.05139390,3941.569282,0.05453257
3935.726210,0.03897192,3935.726210,0.04288853,3935.726210,0.04707810,3935.726210,0.05103330,3935.726210,0.05427403
3929.883139,0.03861283,3929.883139,0.04247399,3929.883139,0.04666113,3929.883139,0.05066735,3929.883139,0.05400627
3924.040067,0.03826450,3924.040067,0.04206517,3924.040067,0.04624460,3924.040067,0.05029693,3924.040067,0.05373009
3918.196995,0.03792770,3918.196995,0.04166297,3918.196995,0.04582944,3918.196995,0.04992296,3918.196995,0.05344634
3912.353923,0.03760323,3912.353923,0.04126828,3912.353923,0.04541660,3912.353923,0.04954641,3912.353923,0.05315597
3906.510851,0.03729191,3906.510851,0.04088204,3906.510851,0.04500711,3906.510851,0.04916832,3906.510851,0.05285997
3900.667780,0.03699461,3900.667780,0.04050524,3900.667780,0.04460202,3900.667780,0.04878980,3900.667780,0.05255946
3894.824708,0.03671220,3894.824708,0.04013888,3894.824708,0.04420246,3894.824708,0.04841202,3894.824708,0.05225559
3888.981636,0.03644562,3888.981636,0.03978405,3888.981636,0.04380960,3888.981636,0.04803623,3888.981636,0.05194964
3883.138564,0.03619581,3883.138564,0.03944184,3883.138564,0.04342468,3883.138564,0.04766376,3883.138564,0.05164299
3877.295492,0.03596380,3877.295492,0.03911343,3877.295492,0.04304902,3877.295492,0.04729602,3877.295492,0.05133709
3871.452421,0.03575063,3871.452421,0.03880004,3871.452421,0.04268398,3871.452421,0.04693453,3871.452421,0.05103354
3865.609349,0.03555742,3865.609349,0.03850296,3865.609349,0.04233102,3865.609349,0.04658088,3865.609349,0.05073404
3859.766277,0.03538533,3859.766277,0.03822354,3859.766277,0.04199170,3859.766277,0.04623680,3859.766277,0.05044043
3853.923205,0.03523560,3853.923205,0.03796322,3853.923205,0.04166763,3853.923205,0.04590409,3853.923205,0.05015467
3848.080134,0.03510953,3848.080134,0.03772349,3848.080134,0.04136054,3848.080134,0.04558470,3848.080134,0.04987888
3842.237062,0.03500849,3842.237062,0.03750594,3842.237062,0.04107227,3842.237062,0.04528069,3842.237062,0.04961531
3836.393990,0.03493395,3836.393990,0.03731227,3836.393990,0.04080474,3836.393990,0.04499425,3836.393990,0.04936640
3830.550918,0.03488743,3830.550918,0.03714423,3830.550918,0.04056001,3830.550918,0.04472772,3830.550918,0.04913472
3824.707846,0.03487058,3824.707846,0.03700371,3824.707846,0.04034023,3824.707846,0.04448359,3824.707846,0.04892304
3818.864775,0.03488513,3818.864775,0.03689268,3818.864775,0.04014770,3818.864775,0.04426447,3818.864775,0.04873430
3813.021703,0.03493290,3813.021703,0.03681323,3813.021703,0.03998484,3813.021703,0.04407317,3813.021703,0.04857166
3807.178631,0.03501583,3807.178631,0.03676759,3807.178631,0.03985421,3807.178631,0.04391264,3807.178631,0.04843844
3801.335559,0.03513597,3801.335559,0.03675807,3801.335559,0.03975852,3801.335559,0.04378600,3801.335559,0.04833819
3795.492487,0.03529550,3795.492487,0.03678712,3795.492487,0.03970060,3795.492487,0.04369656,3795.492487,0.04827465
3789.649416,0.03549670,3789.649416,0.03685735,3789.649416,0.03968346,3789.649416,0.04364781,3789.649416,0.04825179
3783.806344,0.03574199,3783.806344,0.03697145,3783.806344,0.03971025,3783.806344,0.04364341,3783.806344,0.04827381
3777.963272,0.03603389,3777.963272,0.03713230,3777.963272,0.03978427,3777.963272,0.04368722,3777.963272,0.04834511
3772.120200,0.03637509,3772.120200,0.03734286,3772.120200,0.03990898,3772.120200,0.04378327,3772.120200,0.04847032
3766.277129,0.03676837,3766.277129,0.03760628,3766.277129,0.04008802,3766.277129,0.04393582,3766.277129,0.04865430
3760.434057,0.03721667,3760.434057,0.03792582,3760.434057,0.04032515,3760.434057,0.04414926,3760.434057,0.04890212
3754.590985,0.03772304,3754.590985,0.03830487,3754.590985,0.04062431,3754.590985,0.04442821,3754.590985,0.04921910
3748.747913,0.03829067,3748.747913,0.03874697,3748.747913,0.04098958,3748.747913,0.04477744,3748.747913,0.04961073
3742.904841,0.03892285,3742.904841,0.03925577,3742.904841,0.04142519,3742.904841,0.04520191,3742.904841,0.05008273
3737.061770,0.03962301,3737.061770,0.03983506,3737.061770,0.04193551,3737.061770,0.04570674,3737.061770,0.05064101
3731.218698,0.04039468,3731.218698,0.04048873,3731.218698,0.04252503,3731.218698,0.04629720,3731.218698,0.05129166
3725.375626,0.04124149,3725.375626,0.04122077,3725.375626,0.04319836,3725.375626,0.04697869,3725.375626,0.05204093
3719.532554,0.04216714,3719.532554,0.04203528,3719.532554,0.04396022,3719.532554,0.04775675,3719.532554,0.05289522
3713.689482,0.04317544,3713.689482,0.04293641,3713.689482,0.04481540,3713.689482,0.04863701,3713.689482,0.05386106
3707.846411,0.04427024,3707.846411,0.04392839,3707.846411,0.04576877,3707.846411,0.04962518,3707.846411,0.05494507
3702.003339,0.04545544,3702.003339,0.04501548,3702.003339,0.04682525,3702.003339,0.05072705,3702.003339,0.05615393
3696.160267,0.04673496,3696.160267,0.04620198,3696.160267,0.04798978,3696.160267,0.05194840,3696.160267,0.05749438
3690.317195,0.04811271,3690.317195,0.04749217,3690.317195,0.04926729,3690.317195,0.05329505,3690.317195,0.05897315
3684.474124,0.04959261,3684.474124,0.04889030,3684.474124,0.05066268,3684.474124,0.05477276,3684.474124,0.06059692
3678.631052,0.05117850,3678.631052,0.05040058,3678.631052,0.05218079,3678.631052,0.05638721,3678.631052,0.06237231
3672.787980,0.05287415,3672.787980,0.05202712,3672.787980,0.05382637,3672.787980,0.05814400,3672.787980,0.06430581
3666.944908,0.05468325,3666.944908,0.05377392,3666.944908,0.05560403,3666.944908,0.06004856,3666.944908,0.06640373
3661.101836,0.05660930,3661.101836,0.05564481,3661.101836,0.05751819,3661.101836,0.06210611,3661.101836,0.06867215
3655.258765,0.05865566,3655.258765,0.05764347,3655.258765,0.05957309,3655.258765,0.06432165,3655.258765,0.07111688
3649.415693,0.06082547,3649.415693,0.05977330,3649.415693,0.06177269,3649.415693,0.06669985,3649.415693,0.07374338
3643.572621,0.06312161,3643.572621,0.06203746,3643.572621,0.06412064,3643.572621,0.06924507,3643.572621,0.07655673
3637.729549,0.06554668,3637.729549,0.06443881,3637.729549,0.06662027,3637.729549,0.07196125,3637.729549,0.07956153
3631.886477,0.06810296,3631.886477,0.06697982,3631.886477,0.06927449,3631.886477,0.07485187,3631.886477,0.08276186
3626.043406,0.07079233,3626.043406,0.06966259,3626.043406,0.07208578,3626.043406,0.07791992,3626.043406,0.08616124
3620.200334,0.07361627,3620.200334,0.07248879,3620.200334,0.07505613,3620.200334,0.08116780,3620.200334,0.08976250
3614.357262,0.07657582,3614.357262,0.07545959,3614.357262,0.07818697,3614.357262,0.08459731,3614.357262,0.09356778
