Tensile strength,Tensile strength,Tensile strength,Tensile strength,Tensile strength
MPa,MPa,MPa,MPa,MPa
A,B,C,D,E
40.314,41.729,70.863,73.589,98.629
31.81,62.483,56.592,78.25,101.541
28.252,41.004,62.053,75.421,95.624
34.352,58.241,77.015,86.054,106.002
30.738,41.003,70.88,68.191,106.597
29.796,35.692,60.691,78.697,85.23
31.005,37.932,62.861,80.555,98.894
35.667,52.445,66.144,77.52,85.86
33.832,45.781,47.654,91.966,102.299
29.977,54.396,62.333,83.687,93.131
33.11,44.632,70.425,89.279,93.41
29.951,32.805,65.994,78.221,84.289
31.434,39.86,68.243,84.134,107.251
27.326,32.475,72.211,86.667,86.167
29.087,50.877,61.878,83.798,104.031
29.486,40.494,55.297,70.459,84.097
28.27,47.828,59.852,59.408,91.494
36.825,47.534,65.294,85.45,85.089
32.399,51.794,61.88,77.142,112.437
26.435,50.159,49.442,78.735,101.94
28.132,49.674,55.645,79.228,111.997
30.777,32.672,63.585,66.755,89.862
33.232,50.921,53.649,78.855,101.654
32.455,37.879,60.943,88.578,100.433
36.174,49.021,61.266,87.801,96.194
