time_min,temperature_C,conversion_pct
0,120,0.0
1,120,0.4062
2,120,0.81074
3,120,1.21365
4,120,1.61491
5,120,2.01455
6,120,2.41257
7,120,2.80896
8,120,3.20375
9,120,3.59693
10,120,3.98852
11,120,4.37852
12,120,4.76693
13,120,5.15376
14,120,5.53902
15,120,5.92272
16,120,6.30486
17,120,6.68545
18,120,7.06449
19,120,7.44199
20,120,7.81796
21,120,8.1924
22,120,8.56532
23,120,8.93672
24,120,9.30662
25,120,9.67501
26,120,10.04191
27,120,10.40732
28,120,10.77124
29,120,11.13368
30,120,11.49466
31,120,11.85416
32,120,12.21221
33,120,12.5688
34,120,12.92394
35,120,13.27764
36,120,13.62991
37,120,13.98074
38,120,14.33015
39,120,14.67813
40,120,15.02471
41,120,15.36988
42,120,15.71364
43,120,16.05601
44,120,16.39699
45,120,16.73658
46,120,17.07479
47,120,17.41163
48,120,17.74711
49,120,18.08121
50,120,18.41397
51,120,18.74537
52,120,19.07542
53,120,19.40413
54,120,19.73151
55,120,20.05756
56,120,20.38228
57,120,20.70569
58,120,21.02778
59,120,21.34856
60,120,21.66804
0,122,0.0
1,122,0.44302
2,122,0.88407
3,122,1.32317
4,122,1.76033
5,122,2.19555
6,122,2.62884
7,122,3.06021
8,122,3.48967
9,122,3.91723
10,122,4.34289
11,122,4.76667
12,122,5.18857
13,122,5.6086
14,122,6.02677
15,122,6.44309
16,122,6.85757
17,122,7.2702
18,122,7.68101
19,122,8.09
20,122,8.49718
21,122,8.90255
22,122,9.30613
23,122,9.70792
24,122,10.10793
25,122,10.50617
26,122,10.90264
27,122,11.29736
28,122,11.69033
29,122,12.08156
30,122,12.47105
31,122,12.85882
32,122,13.24487
33,122,13.62921
34,122,14.01185
35,122,14.39279
36,122,14.77205
37,122,15.14962
38,122,15.52552
39,122,15.89976
40,122,16.27234
41,122,16.64327
42,122,17.01255
43,122,17.3802
44,122,17.74622
45,122,18.11062
46,122,18.47341
47,122,18.83458
48,122,19.19416
49,122,19.55215
50,122,19.90854
51,122,20.26336
52,122,20.61661
53,122,20.96829
54,122,21.31842
55,122,21.66699
56,122,22.01402
57,122,22.35951
58,122,22.70347
59,122,23.04591
60,122,23.38683
0,124,0.0
1,124,0.48317
2,124,0.964
3,124,1.44251
4,124,1.91871
5,124,2.39261
6,124,2.86422
7,124,3.33355
8,124,3.80061
9,124,4.26541
10,124,4.72797
11,124,5.1883
12,124,5.6464
13,124,6.10228
14,124,6.55597
15,124,7.00746
16,124,7.45677
17,124,7.90391
18,124,8.34889
19,124,8.79172
20,124,9.23241
21,124,9.67097
22,124,10.10741
23,124,10.54174
24,124,10.97397
25,124,11.40412
26,124,11.83219
27,124,12.25818
28,124,12.68213
29,124,13.10402
30,124,13.52387
31,124,13.9417
32,124,14.3575
33,124,14.7713
34,124,15.1831
35,124,15.59291
36,124,16.00073
37,124,16.40659
38,124,16.81049
39,124,17.21243
40,124,17.61244
41,124,18.01051
42,124,18.40666
43,124,18.80089
44,124,19.19322
45,124,19.58365
46,124,19.9722
47,124,20.35886
48,124,20.74367
49,124,21.12661
50,124,21.5077
51,124,21.88695
52,124,22.26437
53,124,22.63996
54,124,23.01374
55,124,23.38571
56,124,23.75589
57,124,24.12427
58,124,24.49088
59,124,24.85572
60,124,25.21879
0,126,0.0
1,126,0.52695
2,126,1.05112
3,126,1.57253
4,126,2.09119
5,126,2.60712
6,126,3.12033
7,126,3.63083
8,126,4.13865
9,126,4.64379
10,126,5.14626
11,126,5.64609
12,126,6.14329
13,126,6.63787
14,126,7.12984
15,126,7.61921
16,126,8.10601
17,126,8.59025
18,126,9.07193
19,126,9.55107
20,126,10.02769
21,126,10.5018
22,126,10.97341
23,126,11.44253
24,126,11.90918
25,126,12.37337
26,126,12.83512
27,126,13.29443
28,126,13.75133
29,126,14.20581
30,126,14.6579
31,126,15.10761
32,126,15.55495
33,126,15.99993
34,126,16.44257
35,126,16.88287
36,126,17.32086
37,126,17.75653
38,126,18.18991
39,126,18.62101
40,126,19.04983
41,126,19.4764
42,126,19.90072
43,126,20.3228
44,126,20.74265
45,126,21.1603
46,126,21.57574
47,126,21.989
48,126,22.40008
49,126,22.80899
50,126,23.21574
51,126,23.62036
52,126,24.02284
53,126,24.4232
54,126,24.82145
55,126,25.2176
56,126,25.61166
57,126,26.00365
58,126,26.39357
59,126,26.78144
60,126,27.16726
0,128,0.0
1,128,0.57468
2,128,1.14606
3,128,1.71416
4,128,2.27899
5,128,2.84058
6,128,3.39894
7,128,3.95409
8,128,4.50605
9,128,5.05483
10,128,5.60047
11,128,6.14296
12,128,6.68234
13,128,7.21862
14,128,7.75182
15,128,8.28196
16,128,8.80905
17,128,9.3331
18,128,9.85415
19,128,10.3722
20,128,10.88728
21,128,11.3994
22,128,11.90857
23,128,12.41481
24,128,12.91815
25,128,13.4186
26,128,13.91616
27,128,14.41087
28,128,14.90274
29,128,15.39178
30,128,15.87801
31,128,16.36144
32,128,16.8421
33,128,17.31999
34,128,17.79514
35,128,18.26756
36,128,18.73726
37,128,19.20426
38,128,19.66858
39,128,20.13023
40,128,20.58923
41,128,21.04559
42,128,21.49933
43,128,21.95046
44,128,22.399
45,128,22.84496
46,128,23.28835
47,128,23.7292
48,128,24.16752
49,128,24.60331
50,128,25.0366
51,128,25.46741
52,128,25.89573
53,128,26.3216
54,128,26.74501
55,128,27.166
56,128,27.58456
57,128,28.00072
58,128,28.41449
59,128,28.82588
60,128,29.2349
0,130,0.0
1,130,0.62673
2,130,1.24953
3,130,1.86843
4,130,2.48344
5,130,3.09461
6,130,3.70194
7,130,4.30547
8,130,4.90521
9,130,5.5012
10,130,6.09345
11,130,6.68199
12,130,7.26684
13,130,7.84803
14,130,8.42557
15,130,8.99949
16,130,9.56982
17,130,10.13657
18,130,10.69977
19,130,11.25944
20,130,11.8156
21,130,12.36828
22,130,12.91749
23,130,13.46326
24,130,14.00561
25,130,14.54456
26,130,15.08014
27,130,15.61235
28,130,16.14124
29,130,16.6668
30,130,17.18907
31,130,17.70807
32,130,18.22382
33,130,18.73634
34,130,19.24564
35,130,19.75175
36,130,20.25469
37,130,20.75447
38,130,21.25113
39,130,21.74467
40,130,22.23512
41,130,22.72249
42,130,23.20681
43,130,23.6881
44,130,24.16637
45,130,24.64164
46,130,25.11393
47,130,25.58326
48,130,26.04965
49,130,26.51312
50,130,26.97368
51,130,27.43136
52,130,27.88617
53,130,28.33813
54,130,28.78725
55,130,29.23356
56,130,29.67708
57,130,30.11781
58,130,30.55578
59,130,30.99101
60,130,31.42351
0,132,0.0
1,132,0.68347
2,132,1.36227
3,132,2.03643
4,132,2.70598
5,132,3.37096
6,132,4.03139
7,132,4.68731
8,132,5.33875
9,132,5.98573
10,132,6.62829
11,132,7.26646
12,132,7.90026
13,132,8.52974
14,132,9.15491
15,132,9.77581
16,132,10.39247
17,132,11.00491
18,132,11.61317
19,132,12.21726
20,132,12.81723
21,132,13.4131
22,132,14.0049
23,132,14.59265
24,132,15.17639
25,132,15.75613
26,132,16.33191
27,132,16.90376
28,132,17.4717
29,132,18.03576
30,132,18.59596
31,132,19.15233
32,132,19.7049
33,132,20.2537
34,132,20.79874
35,132,21.34006
