Material,Role,Group,Metric,Value,Unit,DisplayLabel,ScatterAxis,ScatterMin,ScatterMax,RadarOrder,Direction,ScaleMin,ScaleMax,MaterialOrder,Marker,EnvelopeInclude,LegendLabel,LegendGroup,LegendIdentity,LegendItemsPerRow
A1,sample,Group A,density,1.100967,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,1,,true,A1,Group A,A1,2
A1,sample,Group A,impact_strength,81.333092,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,1,,true,A1,Group A,A1,2
A1,sample,Group A,elongation_at_break,170.456485,%,Elongation,,,,3,higher,0,300,1,,true,A1,Group A,A1,2
A2,sample,Group A,density,1.014926,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,2,,true,A2,Group A,A2,2
A2,sample,Group A,impact_strength,88.656770,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,2,,true,A2,Group A,A2,2
A2,sample,Group A,elongation_at_break,184.528330,%,Elongation,,,,3,higher,0,300,2,,true,A2,Group A,A2,2
A3,sample,Group A,density,0.953894,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,3,,true,A3,Group A,A3,2
A3,sample,Group A,impact_strength,68.522640,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,3,,true,A3,Group A,A3,2
A3,sample,Group A,elongation_at_break,182.174770,%,Elongation,,,,3,higher,0,300,3,,true,A3,Group A,A3,2
A4,sample,Group A,density,1.081971,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,4,,true,A4,Group A,A4,2
A4,sample,Group A,impact_strength,66.628474,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,4,,true,A4,Group A,A4,2
A4,sample,Group A,elongation_at_break,171.311305,%,Elongation,,,,3,higher,0,300,4,,true,A4,Group A,A4,2
B1,reference,Group B,density,1.344203,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,5,,,B1,Group B,B1,2
B1,reference,Group B,impact_strength,52.469662,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,5,,,B1,Group B,B1,2
B1,reference,Group B,elongation_at_break,169.710865,%,Elongation,,,,3,higher,0,300,5,,,B1,Group B,B1,2
B2,reference,Group B,density,1.223981,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,6,,,B2,Group B,B2,2
B2,reference,Group B,impact_strength,51.734499,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,6,,,B2,Group B,B2,2
B2,reference,Group B,elongation_at_break,170.020855,%,Elongation,,,,3,higher,0,300,6,,,B2,Group B,B2,2
B3,reference,Group B,density,1.216608,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,7,,,B3,Group B,B3,2
B3,reference,Group B,impact_strength,36.089025,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,7,,,B3,Group B,B3,2
B3,reference,Group B,elongation_at_break,165.252640,%,Elongation,,,,3,higher,0,300,7,,,B3,Group B,B3,2
B4,reference,Group B,density,1.367052,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,8,,,B4,Group B,B4,2
B4,reference,Group B,impact_strength,42.742871,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,8,,,B4,Group B,B4,2
B4,reference,Group B,elongation_at_break,168.682660,%,Elongation,,,,3,higher,0,300,8,,,B4,Group B,B4,2
C1,reference,Group C,density,1.390555,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,9,,,C1,Group C,C1,2
