Wavelength (nm),S01,S02,S03,S04,S05
250,0.026495,0.025001,0.025000,0.025000,0.025000
251,0.026889,0.025002,0.025000,0.025000,0.025000
252,0.027372,0.025002,0.025000,0.025000,0.025000
253,0.027962,0.025004,0.025000,0.025000,0.025000
254,0.028675,0.025005,0.025000,0.025000,0.025000
255,0.029535,0.025007,0.025000,0.025000,0.025000
256,0.030562,0.025010,0.025000,0.025000,0.025000
257,0.031781,0.025014,0.025000,0.025000,0.025000
258,0.033219,0.025020,0.025000,0.025000,0.025000
259,0.034903,0.025028,0.025000,0.025000,0.025000
260,0.036862,0.025039,0.025000,0.025000,0.025000
261,0.039125,0.025053,0.025000,0.025000,0.025000
262,0.041720,0.025072,0.025000,0.025000,0.025000
263,0.044674,0.025098,0.025000,0.025000,0.025000
264,0.048015,0.025132,0.025001,0.025000,0.025000
265,0.051764,0.025177,0.025001,0.025000,0.025000
266,0.055941,0.025236,0.025001,0.025000,0.025000
267,0.060558,0.025312,0.025002,0.025000,0.025000
268,0.065623,0.025411,0.025003,0.025000,0.025000
269,0.071137,0.025538,0.025004,0.025000,0.025000
270,0.077089,0.025700,0.025006,0.025000,0.025000
271,0.083464,0.025905,0.025008,0.025000,0.025000
272,0.090232,0.026164,0.025012,0.025000,0.025000
273,0.097354,0.026488,0.025016,0.025000,0.025000
274,0.104782,0.026891,0.025023,0.025000,0.025000
275,0.112455,0.027388,0.025032,0.025000,0.025000
276,0.120302,0.028000,0.025044,0.025000,0.025000
277,0.128242,0.028745,0.025060,0.025000,0.025000
278,0.136187,0.029647,0.025082,0.025000,0.025000
279,0.144040,0.030734,0.025111,0.025000,0.025000
280,0.151700,0.032032,0.025150,0.025000,0.025000
281,0.159063,0.033574,0.025201,0.025000,0.025000
282,0.166023,0.035392,0.025268,0.025000,0.025000
283,0.172478,0.037521,0.025355,0.025000,0.025000
284,0.178330,0.039998,0.025468,0.025000,0.025000
285,0.183487,0.042858,0.025613,0.025000,0.025000
286,0.187867,0.046139,0.025797,0.025000,0.025000
287,0.191402,0.049874,0.026031,0.025000,0.025000
288,0.194035,0.054097,0.026326,0.025001,0.025000
289,0.195729,0.058836,0.026695,0.025001,0.025000
290,0.196461,0.064115,0.027154,0.025002,0.025000
291,0.196228,0.069950,0.027722,0.025002,0.025000
292,0.195044,0.076351,0.028418,0.025003,0.025000
293,0.192943,0.083318,0.029267,0.025005,0.025000
294,0.189974,0.090839,0.030296,0.025007,0.025000
295,0.186204,0.098891,0.031534,0.025010,0.025000
296,0.181717,0.107439,0.033014,0.025014,0.025000
297,0.176604,0.116433,0.034770,0.025019,0.025000
298,0.170973,0.125810,0.036842,0.025027,0.025000
299,0.164935,0.135494,0.039269,0.025038,0.025000
300,0.158609,0.145392,0.042091,0.025052,0.025000
301,0.152116,0.155404,0.045350,0.025071,0.025000
302,0.145580,0.165415,0.049088,0.025097,0.025000
303,0.139119,0.175302,0.053345,0.025132,0.025000
304,0.132850,0.184937,0.058157,0.025178,0.025000
305,0.126884,0.194185,0.063557,0.025238,0.025000
306,0.121324,0.202912,0.069572,0.025318,0.025000
307,0.116266,0.210985,0.076222,0.025421,0.025000
308,0.111797,0.218278,0.083516,0.025554,0.025000
309,0.107992,0.224672,0.091455,0.025725,0.025000
310,0.104919,0.230060,0.100025,0.025944,0.025000
311,0.102638,0.234351,0.109201,0.026221,0.025001
312,0.101195,0.237471,0.118942,0.026570,0.025001
313,0.100634,0.239365,0.129191,0.027007,0.025001
314,0.100986,0.240000,0.139877,0.027550,0.025002
315,0.102279,0.239365,0.150911,0.028222,0.025003
316,0.104534,0.237471,0.162191,0.029046,0.025004
317,0.107766,0.234351,0.173600,0.030051,0.025006
318,0.111988,0.230060,0.185008,0.031269,0.025008
319,0.117209,0.224672,0.196275,0.032734,0.025011
320,0.123434,0.218279,0.207254,0.034485,0.025016
321,0.130668,0.210986,0.217792,0.036565,0.025022
322,0.138912,0.202913,0.227737,0.039017,0.025031
323,0.148168,0.194187,0.236937,0.041889,0.025043
324,0.158433,0.184939,0.245247,0.045230,0.025060
325,0.169706,0.175306,0.252533,0.049088,0.025082
326,0.181982,0.165419,0.258673,0.053513,0.025112
327,0.195253,0.155409,0.263562,0.058551,0.025152
328,0.209512,0.145399,0.267118,0.064247,0.025205
329,0.224746,0.135502,0.269276,0.070639,0.025275
330,0.240938,0.125820,0.270000,0.077759,0.025367
331,0.258069,0.116446,0.269276,0.085630,0.025486
332,0.276115,0.107455,0.267118,0.094264,0.025640
333,0.295045,0.098911,0.263563,0.103661,0.025838
334,0.314824,0.090863,0.258673,0.113806,0.026090
335,0.335410,0.083348,0.252533,0.124667,0.026410
336,0.356755,0.076389,0.245247,0.136197,0.026813
337,0.378803,0.069997,0.236937,0.148328,0.027318
338,0.401492,0.064172,0.227737,0.160977,0.027946
339,0.424751,0.058907,0.217793,0.174038,0.028722
340,0.448504,0.054185,0.207254,0.187390,0.029674
341,0.472664,0.049982,0.196275,0.200894,0.030835
342,0.497142,0.046271,0.185008,0.214397,0.032241
343,0.521838,0.043020,0.173601,0.227734,0.033934
344,0.546647,0.040195,0.162192,0.240729,0.035957
345,0.571458,0.037761,0.150913,0.253203,0.038360
346,0.596156,0.035683,0.139879,0.264974,0.041192
347,0.620621,0.033926,0.129193,0.275864,0.044510
348,0.644728,0.032458,0.118944,0.285700,0.048369
349,0.668352,0.031247,0.109204,0.294324,0.052826
350,0.691364,0.030265,0.100029,0.301592,0.057937
351,0.713637,0.029485,0.091459,0.307380,0.063758
352,0.735043,0.028886,0.083521,0.311588,0.070337
